suicides,age,period,cohort,sex,country
9,64,2003,1939,female,Albania
9,30,2003,1973,male,Albania
9,30,2003,1973,female,Albania
13,44,2003,1959,female,Albania
1,75,2003,1928,male,Albania
4,10,2003,1993,male,Albania
0,10,2003,1993,female,Albania
4,75,2004,1929,male,Albania
39,44,2004,1960,male,Albania
16,30,2004,1974,male,Albania
20,20,2004,1984,female,Albania
19,20,2004,1984,male,Albania
3,75,2004,1929,female,Albania
11,30,2004,1974,female,Albania
10,64,2004,1940,male,Albania
17,44,2004,1960,female,Albania
3,64,2004,1940,female,Albania
3,10,2004,1994,female,Albania
1,10,2004,1994,male,Albania
0,20,2005,1985,female,Albania
0,30,2005,1975,female,Albania
0,44,2005,1961,female,Albania
0,10,2005,1995,female,Albania
0,64,2005,1941,female,Albania
0,75,2005,1930,female,Albania
0,20,2005,1985,male,Albania
0,30,2005,1975,male,Albania
0,44,2005,1961,male,Albania
0,10,2005,1995,male,Albania
0,64,2005,1941,male,Albania
0,75,2005,1930,male,Albania
0,20,2006,1986,female,Albania
0,30,2006,1976,female,Albania
0,44,2006,1962,female,Albania
0,10,2006,1996,female,Albania
0,64,2006,1942,female,Albania
0,75,2006,1931,female,Albania
0,20,2006,1986,male,Albania
0,30,2006,1976,male,Albania
0,44,2006,1962,male,Albania
0,10,2006,1996,male,Albania
0,64,2006,1942,male,Albania
0,75,2006,1931,male,Albania
8,75,2007,1932,male,Albania
29,44,2007,1963,male,Albania
14,64,2007,1943,male,Albania
3,75,2007,1932,female,Albania
9,30,2007,1977,male,Albania
13,20,2007,1987,female,Albania
13,20,2007,1987,male,Albania
8,30,2007,1977,female,Albania
9,64,2007,1943,female,Albania
14,44,2007,1963,female,Albania
4,10,2007,1997,male,Albania
0,10,2007,1997,female,Albania
21,30,2008,1978,male,Albania
37,44,2008,1964,male,Albania
21,64,2008,1944,male,Albania
5,75,2008,1933,female,Albania
20,20,2008,1988,female,Albania
9,30,2008,1978,female,Albania
19,44,2008,1964,female,Albania
2,75,2008,1933,male,Albania
11,20,2008,1988,male,Albania
7,64,2008,1944,female,Albania
7,10,2008,1998,male,Albania
1,10,2008,1998,female,Albania
0,20,2009,1989,female,Albania
0,30,2009,1979,female,Albania
0,44,2009,1965,female,Albania
0,10,2009,1999,female,Albania
0,64,2009,1945,female,Albania
0,75,2009,1934,female,Albania
0,20,2009,1989,male,Albania
0,30,2009,1979,male,Albania
0,44,2009,1965,male,Albania
0,10,2009,1999,male,Albania
0,64,2009,1945,male,Albania
0,75,2009,1934,male,Albania
20,64,2010,1946,male,Albania
20,44,2010,1966,male,Albania
9,30,2010,1980,male,Albania
2,75,2010,1935,male,Albania
10,20,2010,1990,male,Albania
6,30,2010,1980,female,Albania
2,75,2010,1935,female,Albania
12,44,2010,1966,female,Albania
7,64,2010,1946,female,Albania
6,20,2010,1990,female,Albania
2,10,2010,2000,female,Albania
0,10,2010,2000,male,Albania
0,20,1985,1965,female,Antigua and Barbuda
0,30,1985,1955,female,Antigua and Barbuda
0,44,1985,1941,female,Antigua and Barbuda
0,10,1985,1975,female,Antigua and Barbuda
0,64,1985,1921,female,Antigua and Barbuda
0,75,1985,1910,female,Antigua and Barbuda
0,20,1985,1965,male,Antigua and Barbuda
0,30,1985,1955,male,Antigua and Barbuda
0,44,1985,1941,male,Antigua and Barbuda
0,10,1985,1975,male,Antigua and Barbuda
0,64,1985,1921,male,Antigua and Barbuda
0,75,1985,1910,male,Antigua and Barbuda
0,20,1986,1966,female,Antigua and Barbuda
0,30,1986,1956,female,Antigua and Barbuda
0,44,1986,1942,female,Antigua and Barbuda
0,10,1986,1976,female,Antigua and Barbuda
0,64,1986,1922,female,Antigua and Barbuda
0,75,1986,1911,female,Antigua and Barbuda
0,20,1986,1966,male,Antigua and Barbuda
0,30,1986,1956,male,Antigua and Barbuda
0,44,1986,1942,male,Antigua and Barbuda
0,10,1986,1976,male,Antigua and Barbuda
0,64,1986,1922,male,Antigua and Barbuda
0,75,1986,1911,male,Antigua and Barbuda
0,20,1987,1967,female,Antigua and Barbuda
0,30,1987,1957,female,Antigua and Barbuda
0,44,1987,1943,female,Antigua and Barbuda
0,10,1987,1977,female,Antigua and Barbuda
0,64,1987,1923,female,Antigua and Barbuda
0,75,1987,1912,female,Antigua and Barbuda
0,20,1987,1967,male,Antigua and Barbuda
0,30,1987,1957,male,Antigua and Barbuda
0,44,1987,1943,male,Antigua and Barbuda
0,10,1987,1977,male,Antigua and Barbuda
0,64,1987,1923,male,Antigua and Barbuda
0,75,1987,1912,male,Antigua and Barbuda
0,20,1988,1968,female,Antigua and Barbuda
0,30,1988,1958,female,Antigua and Barbuda
0,44,1988,1944,female,Antigua and Barbuda
0,10,1988,1978,female,Antigua and Barbuda
0,64,1988,1924,female,Antigua and Barbuda
0,75,1988,1913,female,Antigua and Barbuda
0,20,1988,1968,male,Antigua and Barbuda
0,30,1988,1958,male,Antigua and Barbuda
0,44,1988,1944,male,Antigua and Barbuda
0,10,1988,1978,male,Antigua and Barbuda
0,64,1988,1924,male,Antigua and Barbuda
0,75,1988,1913,male,Antigua and Barbuda
0,20,1989,1969,female,Antigua and Barbuda
0,30,1989,1959,female,Antigua and Barbuda
0,44,1989,1945,female,Antigua and Barbuda
0,10,1989,1979,female,Antigua and Barbuda
0,64,1989,1925,female,Antigua and Barbuda
0,75,1989,1914,female,Antigua and Barbuda
0,20,1989,1969,male,Antigua and Barbuda
0,30,1989,1959,male,Antigua and Barbuda
0,44,1989,1945,male,Antigua and Barbuda
0,10,1989,1979,male,Antigua and Barbuda
0,64,1989,1925,male,Antigua and Barbuda
0,75,1989,1914,male,Antigua and Barbuda
1,44,1990,1946,male,Antigua and Barbuda
0,20,1990,1970,female,Antigua and Barbuda
0,30,1990,1960,female,Antigua and Barbuda
0,44,1990,1946,female,Antigua and Barbuda
0,10,1990,1980,female,Antigua and Barbuda
